"Identifier","Organisation_Name","Sub_building_Name","Building_Name","Building_Number","Primary_Thorfare","Alt_Thorfare","Secondary_Thorfare","Locality","Townland","Town","County","Postcode","x_coordinates","y_coordinates"
404185,NA,NA,NA,"35A","MARKET STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AB",267087,423167
404239,NA,NA,NA,"80","BROIGHTER ROAD",NA,NA,NA,"BROGLASCO","LIMAVADY","LONDONDERRY","BT499DY",264664,425127
404247,NA,NA,NA,"41","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AA",267171,422956
404555,"MARTIN O HARA",NA,NA,"195","SEACOAST ROAD",NA,NA,NA,"BALLYHENRY EAST","LIMAVADY","LONDONDERRY","BT499EF",266910,428450
405076,NA,NA,NA,"86","RINGSEND ROAD",NA,NA,NA,"LECK","LIMAVADY","LONDONDERRY","BT490QJ",273010,423273
405192,NA,NA,NA,"9","DANNY BOY PLACE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UH",268831,422377
405198,NA,NA,NA,"3","MILL ROAD",NA,NA,NA,"TERRYDREMONT SOUTH","LIMAVADY","LONDONDERRY","BT490NN",270256,417757
405294,NA,NA,NA,"5","CROSSNADONNELL ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268490,422563
405332,NA,NA,NA,"5","RITTERS COURT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EJ",267174,421907
405333,NA,NA,NA,"7","RITTERS COURT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EJ",267180,421908
405482,NA,NA,NA,"26","SPALLAN ROAD",NA,NA,NA,"BALLYSPALLAN","LIMAVADY","LONDONDERRY","BT499DT",263707,423314
405582,NA,NA,NA,"37","SHANREAGH PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SF",268004,422777
405598,NA,NA,NA,"133","MOUNT EDEN",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490TT",268549,421603
405712,NA,NA,NA,"32","POLLYS BRAE ROAD",NA,NA,NA,"LARGY","LIMAVADY","LONDONDERRY","BT499LL",266926,418050
405723,NA,NA,NA,"97","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BP",267429,423363
405768,NA,NA,NA,"38","EDENVALE",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RF",268545,421906
405815,NA,NA,NA,"54","CONNELL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EA",267313,423129
405948,NA,NA,NA,"71","ANDERSON CRESCENT",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RQ",268385,422104
405953,"LAP CONTRACTS","UNIT 13",NA,"1","AGHANLOO ROAD",NA,NA,"AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HE",268284,425656
405986,NA,NA,NA,"2","LINDSTRAND GARDENS",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490TD",268643,422090
406233,NA,NA,NA,"6","WOODLAND WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EP",267610,421825
406248,NA,NA,NA,"32","BURNALLY ROAD",NA,NA,NA,"FARLOW","LIMAVADY","LONDONDERRY","BT499DP",265790,424578
406249,NA,NA,NA,"17","TAYLOR PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NT",268024,422147
406342,NA,NA,NA,"5","THORNDALE",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490ST",268055,421934
406343,NA,NA,NA,"13","BENEVENAGH DRIVE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AQ",267417,422625
406482,NA,NA,NA,"92","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AN",267279,422665
406483,NA,NA,NA,"163","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QQ",268372,421411
407252,NA,NA,NA,"40","BENEVENAGH DRIVE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AL",267333,422611
407651,NA,NA,NA,"160","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268270,422045
408008,NA,NA,NA,"119","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AB",267226,422570
408124,NA,NA,NA,"45","GREYSTONE ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490ND",268153,422418
408622,NA,NA,NA,"14","DANNY BOY PLACE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UH",268917,422291
408818,NA,NA,NA,"44","DRUMMOND MANOR",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UP",269135,422442
408852,NA,NA,NA,"23","CROSSNADONNELL ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268648,422541
408886,NA,"APARTMENT A",NA,"112","CONNELL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EF",267240,422975
408938,NA,NA,NA,"2","DRUMMOND MANOR",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UP",268994,422322
408962,NA,NA,NA,"21","GORTENANIMA",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490GF",268739,422809
409363,NA,NA,NA,"12","ST. MARY'S CLOSE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AQ",267312,422634
409623,NA,NA,NA,"77","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QF",268192,421454
409624,NA,NA,NA,"41","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BW",267457,423288
409625,NA,NA,NA,"43","MOUNT EDEN",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490TN",268397,421945
409626,NA,NA,NA,"11","ROSSMORE PLACE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490WB",269033,422003
409635,NA,NA,NA,"53","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UF",269097,422484
409636,NA,NA,NA,"59","ROSSMARA",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UA",269121,422263
409644,NA,NA,"SHED",NA,"BENONE AVENUE",NA,NA,NA,"BENONE","LIMAVADY","LONDONDERRY","BT490LQ",271279,435506
409700,NA,NA,NA,NA,"AGHANLOO ROAD",NA,NA,NA,"ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HX",268353,425372
409718,NA,NA,NA,"24","MOUNT EDEN",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RP",268678,421811
409723,NA,NA,NA,"20","BELLS HILL",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DQ",268214,423339
409748,NA,NA,NA,"67","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RD",268260,421881
409763,NA,NA,NA,"420","SEACOAST ROAD",NA,NA,NA,"LENAMORE","LIMAVADY","LONDONDERRY","BT490LD",266336,433662
409835,NA,NA,NA,"24","GLENVIEW DRIVE",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RZ",267642,422083
409836,NA,NA,NA,"5","SCROGGY PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DE",267675,423091
409843,NA,NA,NA,"6","JANES VALLEY",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490EH",268547,422376
410000,"COFFEE SOLUTIONS","UNIT 20",NA,"1","AGHANLOO ROAD",NA,NA,"AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HE",268265,425691
410848,NA,NA,NA,"1E","WILLIAM STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BL",266989,422776
410866,NA,NA,NA,"34","BROIGHTER ROAD",NA,NA,NA,"GLEBE","LIMAVADY","LONDONDERRY","BT499DU",264838,423407
410889,"SARA LEE AND COURTAULDS",NA,NA,"58","CHURCH STREET",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BX",267608,423228
411426,NA,NA,NA,"83","TARTNAKILLY ROAD",NA,NA,NA,"DUNBROCK","LIMAVADY","LONDONDERRY","BT499JH",261195,419154
411490,NA,NA,NA,"194","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268392,421874
411764,"FURNITURE",NA,NA,"8C","BALLYCLOSE STREET",NA,NA,NA,"KILLANE","LIMAVADY","LONDONDERRY","BT490BN",267362,423535
411842,NA,NA,NA,"348","SEACOAST ROAD",NA,NA,NA,"BALLYMULTIMBER","LIMAVADY","LONDONDERRY","BT490LA",266291,432378
411909,"ALL CREATURES VETERINARY CLINIC",NA,NA,"18","ANDERSON AVENUE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490TF",268346,422467
412027,NA,"UNIT D1",NA,"75","SEACOAST ROAD",NA,NA,NA,"LOWER CORNDALE","LIMAVADY","LONDONDERRY","BT499DW",266420,424969
412038,NA,NA,NA,"91","BARLEYHILL",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490FH",268195,421666
412110,NA,NA,NA,"4","BROIGHTER GARDENS",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490GH",268816,422504
412281,NA,NA,NA,"451","SEACOAST ROAD",NA,NA,NA,"CRAIG","LIMAVADY","LONDONDERRY","BT490LL",270510,434311
412294,NA,NA,NA,"63","DRUMAVALLY",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267202,432961
412298,NA,NA,NA,"29","OUGHTYMOYLE AVENUE",NA,NA,NA,"OUGHTYMOYLE","LIMAVADY","LONDONDERRY","BT490JZ",266914,431723
412302,NA,NA,NA,"1","CARRIAGE COURT",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LU",267320,433008
412303,NA,NA,NA,"15","POINT ROAD",NA,NA,NA,"DRUMAHORGAN","LIMAVADY","LONDONDERRY","BT490LP",268230,434169
412435,NA,NA,NA,"138","SEACOAST ROAD",NA,NA,NA,"CRINDLE","LIMAVADY","LONDONDERRY","BT499EG",266242,427078
412463,NA,NA,NA,"121","DOWLAND ROAD",NA,NA,"FRUITHILL","DOWLAND","LIMAVADY","LONDONDERRY","BT490HT",267446,426685
412476,NA,NA,NA,"4","BISHOPS ROAD",NA,NA,NA,"LISNAGRIB","LIMAVADY","LONDONDERRY","BT490JN",269897,426277
412676,NA,NA,NA,"104B","WHITEHILL PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490QG",268303,421625
412678,NA,NA,NA,"38","CATHERINE STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DB",267041,422989
412679,NA,NA,NA,"34","ROEVIEW PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BQ",267062,422360
412680,NA,NA,NA,"8","JOSEPHINE AVENUE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AZ",267115,422411
412681,NA,NA,NA,"11","CHURCH STREET",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BU",267485,423407
412683,NA,NA,NA,"65","MOUNT EDEN",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490TN",268451,421879
412684,NA,NA,NA,"48","CARLARAGH ROAD",NA,NA,NA,"TERRYDRUM","LIMAVADY","LONDONDERRY","BT499LF",265956,419241
412685,NA,NA,NA,"122","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QG",268366,421507
412688,NA,NA,NA,"139","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QQ",268317,421409
412689,NA,NA,NA,"36","SPERRIN ROAD",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AS",267452,422435
412690,NA,NA,NA,"44","GORTEEN CRESCENT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267453,421867
412694,NA,NA,NA,"62","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NU",268141,422056
412698,NA,NA,NA,"51","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QF",268120,421391
412699,NA,NA,NA,"75","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SW",268404,423227
412700,NA,NA,NA,"51","LARGY ROAD",NA,NA,NA,"LARGY","LIMAVADY","LONDONDERRY","BT499LH",267680,419547
412701,NA,NA,NA,"55","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RD",268187,421911
412705,NA,NA,NA,"16","KILLANE ROAD",NA,NA,NA,"KILLANE","LIMAVADY","LONDONDERRY","BT490DN",267546,423530
412706,NA,NA,NA,"123","SHANREAGH PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SG",268107,422475
412709,NA,NA,NA,"101","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QF",268227,421473
412711,NA,NA,NA,"14","GLENBANK WALK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RJ",267813,422081
412717,NA,NA,NA,"116","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SB",268383,422962
412718,NA,NA,"ST. PATRICKS TEMPERANCE HALL","38","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AE",267205,422986
412719,NA,NA,NA,"19","SCROGGY PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DE",267571,423091
412720,NA,NA,NA,"31","ENAGH PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267854,421930
412721,NA,NA,NA,"21","MOYNE WALK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AX",267262,422376
412723,NA,NA,NA,"56","SCROGGY ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267892,422680
412724,NA,NA,NA,"36","ARDGARVAN COTTAGES",NA,NA,NA,"ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NF",268557,420118
412726,NA,NA,NA,"6","ROSSEDEN PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490PQ",268945,422014
412728,NA,NA,NA,"4","ROE MILL WALK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BJ",267013,422708
412729,NA,NA,NA,"26","IRWIN AVENUE",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499HF",267350,421856
412730,NA,NA,NA,"28","IRWIN AVENUE",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499HF",267351,421864
412734,NA,NA,NA,"49","ROEVIEW PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BQ",267021,422287
412735,NA,NA,NA,"16","ROSSNAVANNA",NA,NA,"BOVALLY","BOVALLY","LIMAVADY","LONDONDERRY","BT490TU",268754,421996
